DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,"Percent Satisfaction:
Instructional Core","Percent Satisfaction:
Systems for Improvement",Percent Satisfaction: School Culture
08X304,P.S. 304 Early Childhood School,83%,100%, ,94%,92%,95%
08X305,Pablo Neruda Academy for Architecture and World Studies,53%,90%,81%,91%,91%,88%
08X312,Millennium Art Academy,22%,74%,92%,85%,82%,86%
08X320,Pelham Lab High School,53%,90%,87%,88%,89%,88%
08X332,Holcombe L. Rucker School of Community Research,43%,100%,77%,90%,88%,88%
08X333,P.S. 333 - The Museum School,65%,74%, ,87%,82%,88%
08X335,The Academy of the Arts,66%,71%, ,94%,88%,93%
08X337,The School for Inquiry and Social Justice,75%,92%,99%,93%,87%,89%
08X348,Schuylerville Preparatory High School,72%,100%,95%,93%,90%,89%
08X349,Bronx River High School,51%,90%,96%,92%,94%,91%
08X366,Urban Assembly Academy of Civic Engagement,43%,71%,100%,90%,87%,86%
08X367,"Archimedes Academy for Math, Science and Technology Applications",56%,96%,65%,86%,81%,80%
08X371,Urban Institute of Mathematics,61%,78%,95%,91%,87%,88%
08X375,The Bronx Mathematics Preparatory School,54%,100%,87%,86%,83%,80%
08X376,Antonia Pantoja Preparatory Academy: A College Board School,77%,89%,56%,82%,75%,77%
08X377,Bronx Community High School,13%,80%,75%,93%,90%,90%
08X405,Herbert H. Lehman High School.,8%,52%,67%,70%,69%,66%
08X408,Herbert H. Lehman Yabc,52%,95%,54%,96%,96%,94%
08X424,The Hunts Point School,58%,74%,88%,90%,89%,83%
08X432,BRONX BRIDGES HIGH SCHOOL,9%,60%,68%,90%,85%,85%
08X448,Soundview Academy for Culture and Scholarship,84%,82%,93%,93%,86%,90%
08X452,Bronx Guild,20%,95%,62%,88%,84%,86%
08X467,Mott Hall Community School,48%,88%,93%,88%,86%,85%
08X507,Stevenson Yabc,13%,74%,64%,98%,97%,97%
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",6%,52%,49%,77%,72%,70%
08X530,Banana Kelly High School,57%,55%,63%,78%,76%,77%
08X537,Bronx Arena High School,7%,88%,62%,97%,96%,95%
08X540,School for Community Research and Learning,57%,100%,81%,82%,83%,85%
08X558,Westchester Square Academy,33%,90%,77%,93%,91%,91%
08X559,School for Tourism and Hospitality,31%,62%,99%,84%,87%,85%
08X561,Bronx Compass High School,48%,65%,35%,91%,93%,89%
08X562,Blueprint Middle School,27%,100%,88%,90%,83%,83%
08X650,Jane Addams High School for Academic Careers,14%,28%,24%,89%,84%,88%
09X004,P.S./M.S. 004 Crotona Park West,100%,100%,96%,89%,88%,89%
09X011,P.S. 011 Highbridge,58%,62%, ,96%,92%,95%
09X022,J.H.S. 022 Jordan L. Mott,82%,84%,71%,84%,83%,77%
09X028,P.S. 028 Mount Hope,100%,96%, ,96%,93%,95%
09X035,P.S. 035 Franz Siegel,84%,63%, ,95%,92%,94%
09X042,P.S. 042 Claremont,61%,93%, ,90%,90%,89%
09X053,P.S. 053 Basheer Quisim,53%,89%, ,84%,81%,80%
09X055,P.S. 055 Benjamin Franklin,39%,60%, ,89%,88%,89%
09X058,P.S. 058,61%,83%, ,78%,76%,83%
09X063,P.S. 063 Author's Academy,70%,100%, ,95%,91%,92%
09X064,P.S. 064 Pura Belpre,2%,55%, ,90%,93%,87%
09X070,P.S. 070 Max Schoenfeld,44%,55%, ,90%,89%,88%
09X073,P.S. 073 Bronx,58%,90%, ,89%,84%,84%
09X088,P.S. X088 - S. Silverstein Little Sparrow School,34%,61%, ,97%,88%,94%
09X109,P.S. 109 Sedgwick,75%,100%, ,87%,79%,83%
09X110,P.S. 110 Theodore Schoenfeld,51%,72%, ,90%,83%,85%
09X114,P.S. X114 - Luis Llorens Torres Schools,63%,71%, ,89%,86%,89%
09X117,I.S. 117 Joseph H. Wade,31%,96%,88%,83%,82%,77%
09X126,P.S. 126 Dr Marjorie H Dunbar,49%,65%, ,82%,79%,81%
09X128,Mott Hall III,87%,100%,99%,88%,86%,89%
09X132,P.S. 132 Garret A. Morgan,71%,80%, ,77%,70%,73%
09X145,J.H.S. 145 Arturo Toscanini,45%,83%,95%,89%,87%,84%
09X163,P.S. 163 Arthur A. Schomburg,31%,37%, ,81%,76%,83%
09X170,P.S. 170,82%,96%, ,100%,99%,99%
09X199,P.S. 199X - The Shakespeare School,64%,73%, ,89%,85%,86%
09X204,P.S. 204 Morris Heights,63%,95%, ,97%,96%,97%
09X215,Kappa,95%,71%,98%,88%,79%,86%
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,81%,94%,97%,93%,89%,90%
09X219,I.S. 219 New Venture School,36%,68%,92%,88%,83%,81%
09X227,Bronx Collegiate Academy,25%,96%,56%,96%,94%,94%
09X229,I.S. 229 Roland Patterson,71%,69%,90%,84%,79%,81%
09X230,P.S. 230 Dr Roland N. Patterson,50%,100%, ,98%,96%,95%
09X231,Eagle Academy for Young Men,36%,64%,91%,86%,84%,86%
09X232,I.S. 232,93%,62%,92%,81%,78%,80%
09X236,P.S. 236 Langston Hughes,75%,82%, ,94%,94%,94%
09X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",21%,100%,64%,97%,96%,97%
09X241,"Urban Assembly School for Applied Math and Science, The",46%,100%,80%,85%,85%,86%
09X250,Eximius College Preparatory Academy: A College Board School,35%,94%,99%,89%,86%,88%
09X252,Mott Hall Bronx High School,8%,83%,57%,80%,80%,81%
09X260,Bronx Center for Science and Mathematics,48%,100%,97%,94%,90%,92%
09X263,Validus Preparatory Academy: An Expeditionary Learning School,24%,60%,25%,81%,83%,82%
09X274,The New American Academy at Roberto Clemente State Park,54%,56%, ,95%,94%,95%
09X276,Leadership Institute,46%,50%,77%,91%,83%,84%
09X294,The Walton Avenue School,95%,89%, ,98%,97%,95%
09X297,Morris Academy for Collaborative Studies,25%,81%,75%,87%,87%,84%
09X303,I.S. X303 Leadership & Community Service,89%,100%,97%,95%,93%,94%
09X311,Lucero Elementary School,92%,93%, ,94%,85%,91%
09X313,I.S. 313 School of Leadership Development,29%,67%,88%,80%,76%,71%
09X323,Bronx Writing Academy,32%,73%,68%,81%,79%,75%
09X324,Bronx Early College Academy for Teaching & Learning,34%,85%,87%,88%,86%,87%
09X325,Urban Science Academy,29%,88%,90%,88%,85%,80%
09X327,Comprehensive Model School Project M.S. 327,79%,100%,84%,90%,83%,89%
09X328,New Millennium Business Academy Middle School,45%,80%,78%,80%,76%,74%
09X329,DreamYard Preparatory School,37%,100%,87%,93%,93%,90%
09X339,I.S. 339,46%,79%,98%,90%,88%,82%
09X350,New Directions Secondary School,5%,80%,55%,58%,75%,67%
09X361,The Highbridge Green School,93%,100%,97%,96%,97%,97%
09X365,Academy for Language and Technology,66%,100%,95%,94%,93%,92%
09X403,Bronx International High School,48%,93%,88%,94%,91%,89%
09X404,School for Excellence,48%,93%,71%,86%,83%,82%
09X412,Bronx High School of Business,29%,84%,85%,86%,81%,82%
09X413,Bronx High School for Medical Science,14%,97%,97%,89%,84%,88%
09X414,Jonathan Levin High School for Media and Communications,11%,89%,72%,77%,72%,80%
09X443,The Family School,85%,75%, ,82%,84%,86%
09X449,Grant Avenue Elementary School,78%,87%, ,97%,96%,97%
09X454,Science and Technology Academy: A Mott Hall School,78%,100%,97%,97%,96%,95%
09X457,Sheridan Academy for Young Leaders,98%,100%, ,89%,85%,89%
09X505,"Bronx School for Law, Government and Justice",41%,63%,89%,86%,84%,84%
09X517,Frederick Douglass Academy III Secondary School,69%,66%,90%,85%,83%,82%
09X525,Bronx Leadership Academy High School,7%,84%,65%,83%,77%,79%
09X555,Mount Eden Children's Academy,95%,100%, ,99%,98%,98%
09X564,Claremont International HS,67%,83%,96%,91%,92%,89%
09X568,Young Women's Leadership School of the Bronx,73%,100%,98%,93%,94%,90%
10X003,P.S. 3 Raul Julia Micro Society,61%,69%,99%,89%,86%,88%
10X007,P.S. 007 Kingsbridge,79%,100%, ,99%,95%,98%
10X008,P.S. 008 Issac Varian,37%,70%, ,95%,90%,93%
10X009,P.S. 9 Ryer Avenue Elementary School,53%,100%, ,92%,88%,90%
10X015,P.S. X015 Institute for Environmental Learning,75%,97%,99%,92%,88%,89%
10X020,P.S. 20 P.O.George J. Werdan III,48%,58%,94%,85%,81%,81%
10X023,P.S. 023 The New Children's School,50%,100%, ,94%,89%,90%
10X024,P.S. 024 Spuyten Duyvil,51%,93%, ,80%,74%,84%
10X032,P.S. 032 Belmont,70%,86%, ,94%,92%,93%
10X033,P.S. 033 Timothy Dwight,100%,83%, ,94%,92%,92%
10X037,P.S. X037 - Multiple Intelligence School,40%,89%,91%,89%,85%,85%
10X045,Thomas C. Giordano Middle School 45,28%,48%,96%,84%,80%,77%
10X046,P.S. 046 Edgar Allan Poe,62%,88%, ,90%,89%,87%
10X051,P.S. 051 Bronx New School,77%,57%, ,90%,89%,91%
10X054,P.S. / I.S. 54,82%,94%, ,90%,85%,88%
10X056,P.S. 056 Norwood Heights,78%,100%, ,96%,94%,93%
10X059,P.S. 059 The Community School of Technology,83%,100%, ,98%,96%,95%
10X080,J.H.S. 080 The Mosholu Parkway,36%,60%,60%,77%,75%,75%
10X081,P.S. 081 Robert J. Christen,97%,100%, ,97%,94%,95%
10X085,P.S. 085 Great Expectations,39%,61%, ,85%,81%,81%
10X086,P.S. 086 Kingsbridge Heights,57%,98%,95%,96%,96%,96%
10X091,P.S. 091 Bronx,63%,82%, ,85%,83%,86%
10X094,P.S. 094 Kings College School,44%,77%, ,89%,88%,89%
10X095,P.S. 095 Sheila Mencher,93%,34%,92%,83%,79%,80%
10X118,J.H.S. 118 William W. Niles,68%,53%,93%,80%,76%,79%
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),20%,80%,87%,83%,83%,81%
10X159,P.S. 159 Luis Munoz Marin Biling,70%,100%, ,99%,99%,99%
10X205,P.S. 205 Fiorello Laguardia,95%,97%, ,95%,89%,93%
10X206,I.S. 206 Ann Mersereau,100%,80%,88%,90%,87%,84%
10X207,P.S. 207,67%,71%, ,92%,89%,89%
10X209,P.S. 209,91%,96%, ,100%,97%,98%
10X213,Bronx Engineering and Technology Academy,21%,66%,60%,83%,79%,80%
10X225,Theatre Arts Production Company School,32%,100%,82%,88%,87%,85%
10X226,P.S. 226,49%,62%, ,83%,79%,81%
10X228,Jonas Bronck Academy,80%,85%,99%,95%,94%,96%
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",29%,34%,55%,77%,73%,79%
10X243,West Bronx Academy for the Future,37%,89%,86%,83%,83%,81%
10X244,The New School for Leadership and Journalism,25%,30%,84%,88%,89%,89%
10X246,P.S. 246 Poe Center,38%,68%, ,91%,87%,92%
10X254,I.S. 254,19%,73%,83%,90%,83%,82%
10X264,Bronx Academy for Software Engineering (BASE),27%,100%,76%,86%,83%,88%
10X268,Kingsbridge International High School,44%,80%,86%,89%,88%,87%
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",49%,99%,92%,93%,92%,89%
10X280,P.S./M.S. 280 Mosholu Parkway,64%,85%,68%,93%,91%,91%
10X284,Bronx School of Law and Finance,19%,58%,11%,88%,89%,87%
10X291,P.S. 291,88%,100%, ,99%,97%,97%
10X306,P.S. 306,78%,89%, ,81%,80%,86%
10X307,Luisa Pineiro Fuentes School of Science and Discovery,100%,86%, ,95%,93%,95%
10X308,Bronx Dance Academy School,89%,100%,94%,92%,88%,89%
10X310,P.S. 310 Marble Hill,63%,98%, ,89%,85%,90%
10X315,P.S. 315 Lab School,91%,86%,100%,93%,89%,93%
10X319,Providing Urban Learners Success In Education High School,5%,92%,77%,93%,95%,93%
10X331,The Bronx School of Young Leaders,64%,82%,98%,93%,92%,90%
10X340,P.S. 340,92%,100%,100%,97%,96%,97%
10X342,International School for Liberal Arts,42%,81%,79%,91%,88%,90%
10X344,Ampark Neighborhood,79%,100%, ,94%,95%,95%
10X351,Bronx Collaborative High School,41%,89%,89%,95%,93%,90%
10X353,World View High School,53%,100%,91%,93%,87%,83%
10X360,P.S. 360,82%,100%,100%,88%,75%,86%
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,81%,98%,99%,91%,90%,87%
10X368,In-Tech Academy (M.S. / High School 368),23%,73%,86%,85%,82%,85%
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),82%,100%,85%,91%,90%,90%
10X382,"Elementary School for Math, Science, and Technology",96%,90%, ,94%,92%,90%
10X386,School for Environmental Citizenship,89%,100%, ,96%,93%,94%
10X390,M.S. 390,78%,83%,89%,93%,91%,87%
10X391,The Angelo Patri Middle School,26%,80%,89%,87%,85%,83%
10X396,P.S. 396,58%,92%, ,94%,91%,90%
10X397,English Language Learners and International Support Preparatory Academy (ELLIS),16%,70%,69%,93%,89%,90%
10X433,High School for Teaching and the Professions,26%,89%,58%,85%,84%,83%
10X434,Belmont Preparatory High School,25%,79%,49%,84%,80%,83%
10X437,Fordham High School for the Arts,35%,89%,66%,84%,83%,84%
10X438,Fordham Leadership Academy for Business and Technology,11%,61%,80%,89%,85%,88%
10X439,Bronx High School for Law and Community Service,37%,97%,86%,87%,84%,85%
10X440,DeWitt Clinton High School,12%,82%,58%,77%,79%,73%
10X442,"Celia Cruz Bronx High School of Music, The",42%,93%,80%,89%,87%,89%
10X445,Bronx High School of Science,24%,47%,92%,85%,86%,89%
10X447,Creston Academy,100%,94%,99%,92%,93%,90%
10X459,East Fordham Academy for the Arts,31%,69%,92%,88%,82%,81%
10X475,John F. Kennedy High School, ,100%,75%,68%,65%,72%
10X477,Marble Hill High School for International Studies,65%,100%,94%,90%,86%,89%
10X503,Walton Yabc,6%,100%,80%,95%,93%,94%
10X504,Kennedy Yabc,46%,85%,51%,87%,87%,89%
10X524,Crotona International High School,31%,78%,87%,92%,90%,88%
10X546,Bronx Theatre High School,79%,96%,85%,82%,82%,80%
10X549,Discovery High School,6%,73%,51%,88%,82%,86%
10X565,High School for Energy and Technology,56%,75%,65%,93%,91%,91%
10X660,Grace Dodge Career and Technical Education High School,13%,100%,72%,79%,76%,80%
10X667,Grace Dodge Yabc,63%,92%,88%,98%,98%,96%
10X696,High School of American Studies at Lehman College,41%,89%,93%,93%,89%,96%
11X016,P.S. 016 Wakefield,32%,100%, ,92%,85%,87%
11X019,P.S. 019 Judith K. Weiss,54%,97%,96%,93%,88%,93%
11X021,P.S. 021 Philip H. Sheridan,45%,69%, ,93%,89%,90%
11X041,P.S. 041 Gun Hill Road,77%,67%, ,94%,92%,93%
11X068,P.S. 068 Bronx,56%,74%, ,80%,73%,76%
11X076,P.S. 076 The Bennington School,67%,82%, ,88%,85%,88%
11X078,P.S. 078 Anne Hutchinson,64%,96%, ,90%,88%,88%
11X083,P.S. 083 Donald Hertz,73%,100%,96%,89%,85%,85%
11X087,P.S. 087 Bronx,46%,50%, ,86%,83%,86%
11X089,P.S. 089 Bronx,39%,93%,92%,87%,83%,82%
11X096,P.S. 096 Richard Rodgers,60%,100%, ,95%,92%,93%
11X097,P.S. 097 Bronx,51%,80%, ,89%,86%,91%
11X103,P.S. 103 Hector Fontanez,57%,95%, ,95%,94%,92%
11X105,P.S. 105 Sen Abraham Bernstein,52%,94%, ,85%,80%,85%
11X106,P.S. 106 Parkchester,92%,100%, ,91%,89%,89%
11X108,P.S. 108 Philip J. Abinanti,58%,53%, ,79%,73%,86%
11X111,P.S. 111 Seton Falls,36%,83%, ,79%,71%,78%
11X112,P.S. 112 Bronxwood,43%,100%, ,88%,83%,87%
11X121,P.S. 121 Throop,79%,100%, ,95%,94%,94%
11X127,J.H.S. 127 The Castle Hill,47%,35%,97%,86%,85%,83%
11X142,MS 142 John Philip Sousa,46%,25%,73%,84%,85%,83%
11X144,J.H.S. 144 Michelangelo,32%,91%,84%,92%,92%,86%
11X153,P.S. 153 Helen Keller,47%,94%, ,92%,87%,90%
11X160,P.S. 160 Walt Disney,43%,100%, ,89%,85%,85%
11X169,BAYCHESTER ACADEMY,70%,96%, ,81%,83%,84%
11X175,P.S. 175 City Island,45%,96%,97%,87%,79%,88%
11X178,P.S. 178 - Dr. Selman Waksman,52%,87%, ,89%,84%,86%
11X180,M.S. 180 Dr. Daniel Hale Williams,86%,63%,100%,92%,93%,90%
11X181,I.S. 181 Pablo Casals,44%,79%,93%,88%,83%,82%
11X189,Cornerstone Academy for Social Action,76%,90%, ,96%,95%,95%
11X194,PS/MS 194,64%,99%,99%,89%,85%,87%
11X249,Bronx Health Sciences High School,25%,90%,85%,85%,73%,83%
11X253,Bronx High School for Writing and Communication Arts,26%,74%,53%,91%,90%,90%
11X265,Bronx Lab School,18%,71%,77%,85%,80%,80%
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,23%,58%,60%,72%,72%,71%
11X272,Globe School for Environmental Research,85%,65%,96%,86%,86%,84%
11X275,High School of Computers and Technology,18%,100%,86%,89%,87%,87%
11X287,The Forward School,43%,37%,74%,85%,79%,77%
11X288,Collegiate Institute for Math and Science,39%,92%,88%,89%,90%,89%
11X289,The Young Scholars Academy of The Bronx,23%,96%,60%,85%,77%,75%
11X290,Bronx Academy of Health Careers,36%,83%,76%,87%,85%,84%
11X299,Astor Collegiate Academy,23%,100%,89%,85%,80%,81%
11X322,Aspire Preparatory Middle School,39%,100%,86%,90%,84%,81%
11X326,Bronx Green Middle School,63%,100%,90%,91%,90%,89%
11X355,Bronx Alliance Middle School,55%,91%,87%,92%,90%,83%
11X357,Young Voices Academy of the Bronx,94%,100%, ,98%,99%,98%
11X370,School of Diplomacy,37%,100%,72%,91%,89%,82%
11X415,Christopher Columbus High School,4%,36%,41%,83%,80%,83%
11X417,C Columbus Hs Yabc,40%,63%,81%,95%,90%,94%
11X418,Bronx High School for the Visual Arts,18%,44%,70%,83%,81%,82%
11X455,Harry S Truman High School,12%,63%,51%,87%,86%,83%
11X462,Cornerstone Academy for Social Action Middle School (CASA),80%,74%,89%,83%,87%,87%
11X468,Pelham Academy of Academics and Community Engagement,55%,69%,93%,90%,89%,89%
11X498,PS/MS 11X498 - VAN NEST ACADEMY,43%,91%,99%,93%,91%,93%
11X508,Bronxdale High School,46%,100%,93%,85%,84%,83%
11X509,High School of Language and Innovation,85%,68%,83%,89%,87%,88%
11X513,New World High School,35%,44%,96%,87%,79%,79%
11X514,The Bronxwood Preparatory Academy,14%,66%,73%,83%,79%,76%
11X529,One World Middle School at Edenwald,49%,100%,95%,95%,95%,91%
11X532,Baychester Middle School,50%,81%,88%,89%,88%,87%
11X541,Global Enterprise High School,19%,75%,71%,86%,81%,84%
11X542,Pelham Preparatory Academy,37%,96%,94%,89%,86%,87%
11X544,High School for Contemporary Arts,15%,70%,31%,86%,85%,84%
11X545,Bronx Aerospace High School,23%,100%,71%,76%,67%,69%
11X556,Bronx Park Middle School,45%,85%,88%,91%,89%,85%
11X566,Pelham Gardens Middle School,84%,100%,99%,89%,86%,89%
11X567,Linden Tree Elementary School,96%,100%, ,99%,98%,98%
12X006,P.S. 006 West Farms,47%,91%, ,91%,86%,88%
12X044,P.S. 044 David C. Farragut,74%,100%, ,88%,82%,85%
12X047,P.S. 047 John Randolph,86%,86%, ,97%,95%,94%
12X050,P.S. 050 Clara Barton,70%,89%, ,93%,93%,93%
12X057,P.S. 057 Crescent,69%,100%, ,95%,93%,93%
12X061,P.S. 061 Francisco Oller,35%,52%, ,95%,90%,91%
12X066,P.S. 066 School of Higher Expectations,55%,68%, ,86%,85%,89%
12X067,P.S. 067 Mohegan School,41%,57%, ,88%,86%,84%
12X092,P.S. 092 Bronx,47%,79%, ,94%,91%,92%
12X098,J.H.S. 098 Herman Ridder,54%,93%,90%,89%,86%,82%
12X102,P.S. 102 Joseph O. Loretan,13%,38%, ,86%,83%,91%
12X129,M.S. 129 Academy for Independent Learning and Leadership,62%,100%,89%,94%,93%,91%
12X134,P.S. 134 George F. Bristow,42%,86%, ,91%,87%,89%
12X150,P.S. 150 Charles James Fox,66%,90%, ,93%,91%,92%
12X190,E.S.M.T- I.S. 190,71%,52%,96%,88%,85%,85%
12X195,P.S. 195,82%,82%, ,95%,92%,94%
12X196,P.S. 196,85%,72%, ,95%,90%,93%
12X211,P.S. 211,68%,98%,100%,90%,88%,85%
12X212,P.S. 212,43%,82%,89%,89%,86%,80%
12X214,P.S. 214,32%,96%,98%,91%,89%,85%
12X217,School of Performing Arts,28%,54%,80%,82%,80%,74%
12X242,Mott Hall V,62%,100%,91%,92%,88%,92%
12X248,"Metropolitan High School, The",27%,81%,87%,92%,88%,92%
12X251,Explorations Academy,16%,86%,67%,86%,82%,85%
12X262,Performance Conservatory High School,71%,83%,94%,84%,79%,80%
12X267,Bronx Latin,88%,95%,97%,95%,92%,92%
12X271,East Bronx Academy for the Future,8%,45%,38%,81%,79%,80%
12X273,Frederick Douglass Academy V. Middle School,50%,100%,88%,92%,89%,83%
12X278,Peace and Diversity Academy,76%,94%,82%,87%,84%,82%
12X286,Fannie Lou Hamer Middle School,18%,100%,89%,96%,93%,92%
12X300,The School of Science and Applied Learning,38%,94%, ,98%,96%,96%
12X314,Fairmont Neighborhood School,59%,68%, ,91%,85%,88%
12X316,Kappa III,52%,100%,78%,95%,95%,92%
12X318,"I.S. X318 Math, Science & Technology Through Arts",80%,100%,96%,92%,92%,88%
12X341,Accion Academy,76%,100%,84%,87%,84%,83%
12X372,Urban Assembly School for Wildlife Conservation,23%,82%,85%,90%,86%,85%
12X383,Emolior Academy,86%,71%,91%,92%,93%,92%
12X384,Entrada Academy,31%,94%,96%,81%,82%,76%
12X388,Pan American International High School at Monroe,94%,100%,90%,97%,96%,94%
12X428,Learning To Work Yabc At Monroe Academy,42%,88%,44%,96%,96%,95%
12X446,Arturo A. Schomburg Satellite Academy Bronx,78%,100%,80%,89%,84%,89%
12X463,Urban Scholars Community School,52%,100%, ,95%,91%,92%
12X478,THE CINEMA SCHOOL,15%,95%,86%,86%,83%,85%
12X479,Bronx Career and College Preparatory High School,23%,89%,69%,88%,87%,86%
12X480,Bronx Regional High School,12%,80%,59%,88%,86%,88%
12X511,Bronx Envision Academy,30%,84%,82%,90%,90%,88%
12X521,The Metropolitan Soundview High School,15%,59%,69%,93%,90%,88%
12X531,Archer Elementary School,61%,68%, ,93%,90%,91%
12X536,PS 536,72%,100%, ,96%,91%,93%
12X550,High School of World Cultures,98%,82%,92%,87%,85%,87%
12X682,Fannie Lou Hamer Freedom High School,60%,88%,73%,92%,92%,90%
12X684,Wings Academy,29%,80%,73%,84%,77%,79%
12X690,Monroe Academy for Business/Law,24%,82%,93%,84%,70%,80%
12X691,Bronx Little School,51%,77%, ,81%,76%,84%
12X692,Monroe Academy for Visual Arts & Design,31%,61%,68%,83%,81%,79%
13K003,P.S. 003 The Bedford Village,54%,97%, ,93%,94%,94%
13K008,P.S. 008 Robert Fulton,40%,69%,37%,85%,83%,84%
13K009,P.S. 009 Teunis G. Bergen,69%,46%, ,96%,93%,96%
13K011,P.S. 011 Purvis J. Behan,79%,73%, ,91%,88%,93%
13K020,P.S. 020 Clinton Hill,64%,100%, ,93%,93%,93%
13K044,P.S. 044 Marcus Garvey,62%,82%, ,92%,86%,92%
13K046,P.S. 046 Edward C. Blum,87%,94%, ,93%,88%,91%
13K054,P.S. 054 Samuel C. Barnes,33%,58%, ,87%,88%,89%
13K056,P.S. 056 Lewis H. Latimer,85%,72%, ,97%,95%,96%
13K067,P.S. 067 Charles A. Dorsey,95%,78%, ,83%,81%,80%
13K093,P.S. 093 William H. Prescott,77%,83%, ,86%,76%,82%
13K103,Satellite Three,66%,100%,98%,100%,99%,98%
13K113,M.S. 113 Ronald Edmonds Learning Center,5%,84%,84%,84%,78%,77%
13K133,P.S. 133 William A. Butler,82%,89%, ,96%,94%,96%
13K256,P.S. 256 Benjamin Banneker,77%,67%, ,88%,84%,89%
13K265,Dr. Susan S. McKinney Secondary School of the Arts,28%,42%,63%,83%,77%,77%
13K266,M.S. K266 - Park Place Community Middle School,44%,85%,93%,89%,88%,86%
13K270,P.S. 270 Johann DeKalb,23%,71%, ,87%,83%,88%
13K282,P.S. 282 Park Slope,40%,54%,96%,79%,74%,76%
13K287,P.S. 287 Bailey K. Ashford,69%,90%, ,93%,89%,90%
13K301,Satellite East Middle School,57%,42%,77%,85%,84%,79%
13K305,P.S. 305 Dr. Peter Ray,45%,28%, ,79%,81%,80%
13K307,P.S. 307 Daniel Hale Williams,27%,88%, ,92%,86%,87%
13K313,Satellite West Middle School,36%,83%,96%,87%,84%,85%
13K350,Urban Assembly High School of Music and Art,10%,67%,70%,79%,76%,77%
13K351,The Urban Assembly Unison School,42%,100%,98%,88%,87%,86%
13K412,"Brooklyn Community High School of Communication, Arts and Media",17%,93%,96%,91%,89%,88%
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",13%,69%,77%,75%,71%,72%
13K430,Brooklyn Technical High School,30%,91%,93%,80%,83%,86%
13K439,Brooklyn International High School,93%,100%,99%,99%,97%,96%
13K483,The Urban Assembly School for Law and Justice,51%,97%,88%,90%,90%,89%
13K492,Academy of Arts and Letters,67%,100%,91%,90%,88%,91%
13K499,ACORN Community High School,27%,74%,69%,89%,82%,83%
13K527,Urban Assembly Institute of Math and Science for Young Women,36%,86%,77%,86%,82%,83%
13K553,Brooklyn Academy High School,30%,100%,80%,95%,93%,92%
13K575,Bedford Stuyvesant Preparatory High School,40%,89%,77%,98%,97%,97%
13K595,Bedford Academy High School,67%,95%,94%,92%,89%,94%
13K596,MS 596 Peace Academy,55%,92%,91%,89%,86%,80%
13K605,George Westinghouse Career and Technical Education High School,29%,91%,69%,83%,83%,80%
13K616,Brooklyn High School for Leadership and Community Service,26%,100%,56%,97%,94%,92%
13K657,Downtown Brooklyn Yabc,3%,94%,59%,95%,93%,92%
13K670,Benjamin Banneker Academy,15%,40%,81%,81%,80%,83%
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",30%,79%,71%,81%,78%,81%
13K691,Fort Greene Preparatory Academy,50%,96%,77%,80%,82%,75%
14K016,P.S. 016 Leonard Dunkly,100%,100%, ,96%,92%,95%
14K017,P.S. 017 Henry D. Woodworth,50%,58%, ,91%,87%,91%
14K018,P.S. 018 Edward Bush,80%,100%, ,96%,92%,95%
14K019,P.S. 019 Roberto Clemente,63%,77%, ,94%,91%,90%
14K023,P.S. 023 Carter G. Woodson,99%,91%, ,98%,97%,97%
14K031,P.S. 031 Samuel F. Dupont,74%,97%, ,96%,95%,97%
14K034,P.S. 034 Oliver H. Perry,86%,90%, ,95%,89%,94%
14K050,J.H.S. 050 John D. Wells,57%,80%,95%,87%,85%,83%
14K059,P.S. 059 William Floyd,64%,76%, ,87%,85%,88%
14K071,Juan Morel Campos Secondary School,33%,85%,75%,85%,83%,80%
14K084,P.S. 084 Jose De Diego,58%,77%, ,94%,89%,93%
14K110,P.S. 110 The Monitor,82%,100%, ,97%,95%,97%
14K120,P.S. 120 Carlos Tapia,95%,85%, ,97%,95%,97%
14K126,John Ericsson Middle School 126,100%,97%,99%,94%,95%,92%
14K132,P.S. 132 The Conselyea School,61%,100%, ,88%,87%,89%
14K147,P.S. 147 Isaac Remsen,100%,95%, ,96%,92%,95%
14K157,P.S. 157 Benjamin Franklin,88%,93%,97%,95%,91%,93%
14K196,P.S. 196 Ten Eyck,70%,86%, ,97%,96%,96%
14K250,P.S. 250 George H. Lindsay,96%,72%, ,89%,83%,90%
14K257,P.S. 257 John F. Hylan,67%,84%, ,99%,97%,98%
14K297,P.S. 297 Abraham Stockton,48%,100%, ,91%,86%,91%
14K318,I.S. 318 Eugenio Maria De Hostos,23%,71%,89%,88%,87%,86%
14K319,P.S. 319,100%,91%, ,100%,98%,99%
14K322,Foundations Academy,16%,45%,79%,81%,68%,73%
14K330,The Urban Assembly School for the Urban Environment,22%,100%,72%,98%,97%,94%
